name,price,Discount
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,"KSh 1,001",23%
Starlink Standard Actuated Kit,"KSh 90,000",20%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 16,999",21%
Nunix K1S Hot & Normal Standing Water Dispenser – White,KSh 929,25%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 16,450",25%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)","KSh 3,699",6%
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 1,421",25%
Nunix Free standing Hot and Normal -Q7n White,"KSh 1,110",9%
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)","KSh 16,999",15%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,"KSh 1,550",46%
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 1,170",8%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black","KSh 13,995",12%
Nunix Nunix 7.5KG Twins Tub Washing Machine,"KSh 1,699",25%
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml","KSh 1,050",47%
"Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue, (1YR WRTY)","KSh 13,345",16%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,"KSh 1,001",9%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),"KSh 90,000",2%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 1,170",4%
NIVEA NIVEA SUN UV Face Blemish Control - 40ml,"KSh 3,465",19%
Oraimo Data Cable OCD-M53 2A 1M Black,"KSh 1,421",49%
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White",KSh 780,21%
Fay Fay Kitchen Towels Twin Pack,"KSh 28,380",5%
Nunix Nunix 100 Litres Freezer Fridge,"KSh 3,685",6%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,"KSh 22,550",5%
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 1,680",21%
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,"KSh 2,199",8%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,"KSh 11,800",12%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 19,250",51%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 4,769",26%
Dettol Dettol Soap Herbal 175g,"KSh 1,660",19%
Absolut Absolut Vodka Blue - 750ml,"KSh 1,540",29%
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),"KSh 12,434",23%
Durex Play Tingle Lubricant - 50ml,"KSh 36,877",15%
Oraimo 18W Dual Output 3 Ways Play Music Digital Display,"KSh 1,600",11%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black",KSh 95,23%
"Gld 32"" Smart Frameless HD LED Television - Black.","KSh 11,800",20%
"Royal 43"" Smart Frameless Full HD LED Television - Black.",KSh 332,21%
"Amtec AM-732 3.1CH Subwoofer Bluetooth System, FM/USB/SD - Black (1YR WRTY)","KSh 24,150",25%
Vitron V837 3.1 Inch Bluetooth Speaker System (1YR WRTY),"KSh 5,381",25%
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Dazzling Green, (2YRs WRTY)","KSh 1,999",6%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,KSh 520,25%
Starlink Standard Actuated Kit,KSh 367,9%
